scenario_name,game_type,coalition_id,v_value,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11
buldyrev2010_italy_case_study,protection,coalition_0,0.5,False,False,False,False,False,False,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_1,0.5,True,False,False,False,False,False,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_2,0.5,False,True,False,False,False,False,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_3,0.5,True,True,False,False,False,False,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_4,0.5,False,False,True,False,False,False,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_5,0.5,True,False,True,False,False,False,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_6,0.5,False,True,True,False,False,False,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_7,0.5,True,True,True,False,False,False,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_8,0.5,False,False,False,True,False,False,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_9,0.5,True,False,False,True,False,False,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_10,0.5,False,True,False,True,False,False,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_11,0.5,True,True,False,True,False,False,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_12,0.5,False,False,True,True,False,False,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_13,0.5,True,False,True,True,False,False,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_14,0.5,False,True,True,True,False,False,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_15,0.5,True,True,True,True,False,False,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_16,0.5,False,False,False,False,True,False,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_17,0.5,True,False,False,False,True,False,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_18,0.5,False,True,False,False,True,False,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_19,0.5,True,True,False,False,True,False,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_20,0.5,False,False,True,False,True,False,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_21,0.5,True,False,True,False,True,False,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_22,0.5,False,True,True,False,True,False,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_23,0.5,True,True,True,False,True,False,False,False,False,False,False,False
